0	0	2499	12	7,0.04243398091854305	3,0.16708904735171984	15,0.2678307721859462	4,0.021604292539063572	18,0.09056484002041103	29,0.042529559965607866	21,0.015639809696398808	12,0.07762246281947502	22,0.04138415836723378	27,0.11128771039317832	28,0.05588724290365845	34,0.06612612283876412
1	3332	4165	12	6,0.01678925667243785	12,0.054961693342100194	2,0.0019499563938747816	3,0.030660813183555437	7,0.03046670143602007	11,0.049474591848927905	16,0.05922745014378437	8,0.3876162933577814	27,0.09163939869148995	19,0.012282543745760903	29,0.09213401679549657	20,0.1727972843887705
2	0	4165	12	11,0.054353618544069664	33,0.017839104622130387	0,0.16477277053612577	34,0.03741470266155653	17,0.1909306239499106	13,0.08072793910804704	5,0.012086797155961575	26,0.012243738589066322	9,0.017095554876412972	19,0.18284846603869	30,0.2051393241646861	12,0.024547359753343014
3	4165	0	12	20,0.1997953199387407	9,0.04725674809668169	12,0.11811385905772573	24,0.06641231207039446	26,0.045686624318646715	11,0.24579002549086587	32,0.007570339253592733	10,0.04820830398400001	27,0.01403110731483693	4,0.11031568374309556	25,0.021029087930348897	30,0.07579058880107063
4	3332	4165	12	29,0.11538962099797122	22,0.05263548700535623	2,0.03275170871767803	23,0.03947997630121914	32,0.30585368361639453	8,0.15314457671992443	13,8.619292541044916e-05	34,0.044476241155772665	5,0.003860321707804354	18,0.0778404646344634	12,0.008778583688181227	7,0.16570314252982438
5	833	833	12	32,0.020948403751418532	24,0.007489132615090523	16,0.011472194761645769	20,0.029127512362075468	34,0.09772961820678844	7,0.011854510790226315	4,0.15758737415069687	13,0.08162295516073387	12,0.0850153995390244	3,0.38094354722039486	22,0.015810312980321928	28,0.10039903846158288
6	1666	0	12	5,0.09840209585984847	26,0.0440307798773014	24,0.24240261742173036	15,0.01661796970747142	1,0.05634599047054623	20,0.014125771569412198	12,0.11550330296208342	0,0.09051881586837535	17,0.024583918307692975	32,0.18153130494253086	29,0.0552369130594559	14,0.060700519953551475
7	4165	833	12	25,0.057849701588033146	16,0.09232986417963272	20,0.16945742494527302	22,0.0075304656895765374	14,0.12777618508528552	31,0.07067922407863024	27,0.04647808866716584	24,0.10961886007193417	28,0.11705494649676902	6,0.11872907979458551	10,0.03606366772409954	3,0.04643249167901472
8	4165	833	12	29,0.09127261243239544	28,0.16690066686933255	18,0.08346697451673267	30,0.08677285825061895	7,0.009516050226764404	11,0.051872535833485056	6,0.1402129322732085	31,0.10779480167871434	1,0.08310414252640691	9,0.09890085115810339	25,0.07690154160196323	26,0.0032840326322745228
9	3332	1666	12	25,0.10023934304727228	6,0.04918491370944564	26,0.0807835385524102	16,0.10122702590968835	9,0.014236797992969095	23,0.1200559599978016	10,0.12793875957551445	30,0.1270889094521862	1,0.015052704497101159	21,0.10817233745609861	27,0.05486731638830321	5,0.10115239342120934
10	2499	4165	12	7,0.028741598337002086	2,0.03237566520727727	8,0.07291673924645035	23,0.034142653512319036	29,0.08774929207896827	30,0.17618926650259953	25,0.016251089242773926	6,0.04333197050508693	13,0.008474574395516802	10,0.1943389225245115	32,0.2161129080808633	20,0.08937532036663116
11	2499	0	12	15,0.027742648276030596	9,0.02977000894725564	18,0.02433400372386769	19,0.04112664670538726	14,0.08224852029849396	2,0.049625924346436395	0,0.08691619707337776	30,0.16447967519471784	4,0.08520389899151634	6,0.2930049509127225	23,0.020799269538325015	11,0.09474825599186906
12	3332	1666	12	15,0.09870417424414926	25,0.1899696115348374	31,0.005525686694310568	4,0.10619477633419407	30,0.015637136558696592	19,0.13725229200973976	8,0.051560759400448825	33,0.08605997080051561	1,0.1145195592363133	23,0.006104243957855269	26,0.14803365589957412	24,0.040438133329365154
13	1666	3332	12	27,0.07762936673095319	31,0.024059445916080505	16,0.0873793878129182	22,0.12121736336663909	8,0.015242624955112553	7,0.20762821926593222	17,0.026949399354017932	21,0.023924821465847984	1,0.047545008227941644	13,0.3153593420094722	32,0.050667643149567794	5,0.002397377745516704
14	4165	0	12	6,0.11273610542676933	33,0.14551047348163101	20,0.011303035675431965	8,0.11020306319159084	19,0.04166538392792925	30,0.18935240036880385	3,0.05643745559054929	4,0.05487542905237724	7,0.010450734951285056	16,0.09046296543816275	2,0.07397474501004728	10,0.10302820788542212
15	833	0	12	16,0.19284778837434463	28,0.0351203999105674	17,0.09443606799129471	13,0.10281337162327271	8,0.06047602676364114	12,0.07189693765726156	22,0.0570219684819594	25,0.2586284434404259	34,0.00737435989940473	14,0.020497730626884092	31,0.021175612229481604	6,0.07771129300146223
16	1666	3332	12	9,0.04472561097243119	13,0.03112602616165889	20,0.004734928599500676	3,0.031805556191533066	19,0.11017683536268294	16,0.46368863101737806	21,0.06481575798011086	22,0.026546076942752638	26,0.0935624335764149	18,0.03553948846310039	30,0.04820574292156537	33,0.045072911810871065
17	0	3332	12	31,0.1577933301291447	10,0.011773135831903366	23,0.18247529643064872	4,0.05701118168481232	24,0.06737718282448865	13,0.014114033586723381	2,0.0660587214551911	18,0.03205534207048333	14,0.03013421288506583	3,0.2349690726217139	17,0.04373436584639377	30,0.10250412463343105
18	4165	833	12	9,0.06927289556995989	10,0.01916673766041141	0,0.11689449650089347	2,0.013320286955638133	21,0.09081396671937463	16,0.09420222924940856	22,0.2778853400789042	15,0.014725357024456938	26,0.02787788185671379	27,0.05324919032516518	1,0.14466619637306255	31,0.07792542168601127
19	3332	1666	12	6,0.08689439541865619	13,0.05849807103954103	34,0.0320712529599545	33,0.03344177054685065	19,0.028850727843117374	20,0.24264578544038637	9,0.023275781439894873	24,0.12666813139036132	26,0.18921259155729508	16,0.023425815417230395	21,0.09044105473308676	27,0.06457462221362564
20	2499	1666	12	6,0.09187744696774136	24,0.130786444662144	27,0.006882398388015745	31,0.09314914823969062	17,0.02778858914249109	1,0.10962939943119063	30,0.008032761647574712	3,0.029530345610198887	8,0.008783699822715527	34,0.033356224922760226	25,0.008476319918607844	20,0.45170722124686946
21	2499	2499	12	8,0.02894151997421494	11,0.016363963411911396	2,0.018639973284428166	17,0.007152086275969316	6,0.040965570971982	4,0.07212229997103031	3,0.2728931223535639	10,0.08095873927734146	14,0.059634665935119256	26,0.16739671926658983	21,0.164415929183116	5,0.0705154100947335
22	833	2499	12	17,0.027804015358030672	6,0.07199074111000256	10,0.0033566974409628206	15,0.003742052311316667	2,0.05005661861983528	33,0.24943094942303864	30,0.041628553063842735	27,0.15529731232146496	32,0.045636817906984484	29,0.14306453118114765	5,0.07193318492448099	9,0.13605852633889254
23	0	3332	12	11,0.010747498198625707	19,0.04377518570022373	13,0.06764782041273118	26,0.1505881171188972	23,0.05056080565000639	17,0.08301812162545466	3,0.12028802986346628	12,0.012086339656091622	33,0.029995585152781088	4,0.35009379787581885	20,0.059546099192106135	9,0.02165259955379732
24	1666	1666	12	9,0.06627153693965948	30,0.057285387850915005	11,0.022885179188695717	12,0.010163562029165078	14,0.0901477569197386	24,0.009580307696531835	28,0.4082522063781355	17,0.08995701338960277	6,0.014056130925470325	23,0.0027371628562458026	10,0.02606855969960289	1,0.20259519612623694
