0	3332	4165	12	8,0.3572338400450817	2,0.09897230243408013	6,0.027835739313611014	9,0.061849771580229376	27,0.12183156371709004	29,0.057427594102298404	4,0.049204409424773436	26,0.03692073632220499	0,0.010825574544421377	19,0.05226279334374413	10,0.05762461980832712	21,0.06801105536413819
1	833	833	12	7,0.17102963790234815	9,0.031079680005688122	28,0.033607879691395774	26,0.2519824895522187	33,0.09694300189299127	3,0.16949429023325605	16,0.038801738263566775	27,0.01837259959253341	30,0.0019487812412602968	15,0.02086065256872781	34,0.13458673765323265	22,0.03129251140278114
2	1666	3332	12	21,0.015975290362986793	4,0.08243733986476022	3,0.01023410574129979	1,0.09612824869785942	17,0.008755575620576187	15,0.020198596079259886	10,0.09237551552636308	33,0.04051554411141343	34,0.19824310714815038	14,0.010911038962598759	8,0.04822857619621906	16,0.3759970616885131
3	833	1666	12	28,0.2773524048675751	17,0.04183361871881498	25,0.019870533561158928	31,0.1703135410864308	10,0.011890199586906151	13,0.005811171267089774	8,0.17339162531151697	22,0.04207335772116425	12,0.14438898525848776	3,0.04009008273878609	15,0.04351130829810421	34,0.029473171583965115
4	4165	0	12	27,0.0011497665675082756	13,0.034508931417072355	8,0.013208698551176174	6,0.34748342515052305	4,0.0163018755326427	29,0.041916163757400475	5,0.03733182311365418	26,0.10683903778962368	30,0.20387728120354714	17,0.034658791121994124	24,0.06084407660157898	15,0.10188012919327895
5	2499	0	12	21,0.0025719950529491647	9,0.09960619318124253	28,0.0064485920094788755	15,0.055606593692858426	3,0.054480433031885774	0,0.19154278027984886	10,0.05739882356243902	5,0.1684112639473687	16,0.11935937617806607	8,0.006592490991734641	7,0.12486392393757423	18,0.11311753413455373
6	833	0	12	14,0.06502911273183005	2,0.022544490604408364	1,0.02149010551457859	31,0.04474754309836511	29,0.04558997272316633	6,0.06488757721702365	5,0.3027737872735886	11,0.07115128191672601	16,0.002201285131052	22,0.15694021998621283	3,0.10264081939206131	34,0.10000380441098716
7	0	0	12	7,0.02916093184159297	15,0.013734868461876085	18,0.01121998053687812	22,5.543165583438421e-05	3,0.014721821089709344	16,0.1299544739989916	14,0.23467520741178388	0,0.20145644386020922	12,0.014816535482302811	34,0.15732543202152996	10,0.12135080547727252	11,0.07152806816201919
8	0	0	12	0,0.08618493029006771	13,0.04898719112954125	7,0.14827209645237585	3,0.008842089694861896	27,0.03530992348145943	1,0.1683630062233597	14,0.21800093597901465	10,0.0444001657017485	6,0.04563825818742296	20,0.03664702213765885	29,0.14943123130751285	8,0.009923149414976332
9	0	2499	12	14,0.11165199719765745	4,0.1172872285765721	9,0.11803510860069567	3,0.0883610018532737	7,0.017174564780326026	26,0.09502819142782883	22,0.09925611122421144	21,0.06973037128578803	0,0.04575116432670944	10,0.02819455503927039	34,0.002508957376318627	25,0.20702074831134815
