0	1354.6735622664794	452.4144211968847	1	4	2	180.67194107521863
1	2664.3146972364902	2980.6884499667467	1	5	3	147.3011731030214
2	1129.9691460524791	3937.8281910087467	1	5	3	145.33556408549467
3	1336.874593154682	3139.312432192447	1	4	2	157.41093319310755
4	1371.1554472031953	646.0259078671992	1	1	2	166.47256606285225
5	3418.237741221035	381.8620012815731	1	1	4	165.79367315552142
6	782.7866013701735	2702.6848785842717	0	3	1	229.95050655953935
7	4560.604741873513	4509.600790312252	1	5	4	163.11165172254624
8	2246.590093156009	3908.2672134996837	0	4	3	195.29535978883874
9	4083.1540199365354	1922.9496384225029	1	1	5	145.03693075882234
