TS	X	Y
0	4165	833
1	833	2499
2	2499	2499
3	2499	3332
4	2499	3332
5	2499	2499
6	3332	2499
7	2499	3332
8	3332	2499
9	4165	833
10	3332	2499
11	2499	2499
12	2499	3332
13	2499	3332
14	2499	3332
15	4165	833
16	833	3332
17	3332	2499
18	2499	3332
19	833	2499
20	2499	3332
21	0	833
22	1666	2499
23	2499	2499
24	2499	3332
25	4165	833
26	0	833
27	0	833
28	833	2499
29	2499	3332
30	0	0
31	2499	3332
32	4165	833
33	0	0
34	4165	833
35	3332	2499
36	0	833
37	0	833
38	2499	3332
39	2499	3332
40	0	833
41	0	1666
42	0	0
43	3332	2499
44	4165	833
45	2499	2499
46	2499	2499
47	0	833
48	4165	833
49	4165	833
50	2499	3332
51	4165	833
52	2499	3332
53	2499	3332
54	3332	1666
55	0	0
56	1666	3332
57	4165	833
58	0	833
59	3332	2499
60	833	2499
61	4165	833
62	1666	3332
63	1666	3332
64	2499	2499
65	2499	3332
66	1666	2499
67	4165	833
68	2499	3332
69	2499	2499
70	3332	1666
71	2499	3332
72	0	0
73	2499	3332
74	1666	3332
75	0	0
76	2499	3332
77	2499	3332
78	0	833
79	0	0
80	0	0
81	1666	2499
82	0	1666
83	0	833
84	833	3332
85	2499	3332
86	833	2499
87	3332	2499
88	4165	833
89	833	2499
90	0	0
91	833	2499
92	3332	2499
93	2499	2499
94	3332	2499
95	2499	3332
96	2499	3332
97	2499	3332
98	0	0
99	0	1666
100	1666	2499
101	0	0
102	2499	3332
103	0	833
104	1666	3332
105	4165	833
106	1666	3332
107	3332	2499
