TS	X	Y
0	4165	1666
1	833	833
2	2499	1666
3	1666	2499
4	0	3332
5	2499	1666
6	833	0
7	2499	1666
8	4165	3332
9	1666	833
10	0	1666
11	833	833
12	2499	0
13	833	833
14	1666	833
15	1666	833
16	1666	4165
17	4165	1666
18	0	2499
19	833	2499
20	1666	4165
21	3332	3332
22	833	833
23	2499	1666
24	2499	1666
25	833	833
26	1666	833
27	0	833
28	3332	4165
29	1666	4165
30	3332	1666
31	1666	4165
32	833	2499
33	3332	2499
34	2499	2499
35	4165	833
36	3332	833
37	3332	2499
38	3332	1666
39	833	833
40	4165	3332
41	4165	3332
42	3332	2499
43	2499	0
44	0	0
45	1666	4165
46	2499	0
47	1666	833
48	1666	1666
49	1666	4165
50	2499	1666
51	3332	1666
52	0	833
53	4165	3332
54	1666	3332
