TS	X	Y
0	3332	833
1	0	0
2	4165	2499
3	3332	4165
4	4165	0
5	4165	3332
6	833	2499
7	4165	1666
8	4165	0
9	833	4165
10	1666	3332
11	2499	3332
12	833	2499
13	3332	833
14	4165	4165
15	3332	3332
16	2499	833
17	1666	3332
18	1666	833
19	1666	0
20	4165	1666
21	4165	833
22	2499	833
23	1666	0
24	0	1666
25	0	3332
26	1666	0
27	4165	3332
28	1666	833
29	4165	1666
30	4165	1666
31	3332	3332
32	833	0
33	4165	4165
34	2499	833
35	0	0
36	1666	833
37	833	3332
38	833	833
39	2499	2499
40	4165	3332
41	2499	3332
42	1666	833
43	1666	3332
44	833	0
45	2499	4165
46	2499	3332
47	3332	4165
48	3332	833
49	833	3332
50	4165	0
51	833	4165
52	0	833
53	3332	833
54	3332	4165
