TS	X	Y
0	12	8
1	8.8	1.5999999999999996
2	11.360000000000001	3.52
3	11.872000000000002	3.904
4	11.974400000000001	3.9808
5	11.994880000000002	3.9961599999999997
6	11.998975999999999	3.999232
7	11.999795200000001	3.9998464
8	11.99995904	3.99996928
9	11.999991808	3.999993856
10	11.999998361600001	3.9999987712
11	11.999999672320001	3.99999975424
12	11.999999934464	3.999999950848
13	11.999999986892801	3.9999999901696
14	11.999999997378561	3.9999999980339203
15	11.999999999475714	3.999999999606784
16	11.999999999895143	3.9999999999213567
17	11.99999999997903	3.9999999999842712
18	11.999999999995808	3.999999999996854
19	11.999999999999162	3.9999999999993707
20	11.999999999999833	3.999999999999874
21	11.999999999999968	3.9999999999999747
22	11.999999999999995	3.9999999999999947
23	12.0	3.999999999999999
24	12.0	4.0
25	12	4
26	12	4
27	12	4
28	12	4
29	12	4
30	12	4
31	12	4
32	12	4
33	12	4
34	12	4
35	12	4
36	12	4
37	12	4
38	12	4
39	12	4
40	12	4
41	12	4
42	12	4
43	12	4
44	12	4
45	12	4
46	12	4
47	12	4
48	12	4
49	12	4
50	12	4
51	12	4
52	12	4
53	12	4
54	12	4
55	12	4
56	12	4
57	12	4
58	12	4
59	12	4
60	12	4
61	12	4
62	12	4
63	12	4
64	12	4
65	12	4
66	12	4
67	12	4
68	12	4
69	12	4
70	12	4
71	12	4
72	12	4
73	12	4
74	12	4
75	12	4
76	12	4
77	12	4
78	12	4
79	12	4
80	12	4
81	12	4
82	12	4
83	12	4
84	12	4
85	12	4
86	12	4
87	12	4
88	12	4
89	12	4
90	12	4
91	12	4
92	12	4
93	12	4
94	12	4
95	12	4
96	12	4
97	12	4
98	12	4
99	12	4
100	12	4
101	12	4
102	12	4
103	12	4
104	12	4
105	12	4
106	12	4
107	12	4
108	12	4
109	12	4
110	12	4
111	12	4
112	12	4
113	12	4
114	12	4
115	12	4
116	12	4
117	12	4
118	12	4
119	12	4
120	12	4
121	12	4
122	12	4
123	12	4
124	12	4
125	12	4
126	12	4
127	12	4
128	12	4
129	12	4
130	12	4
131	12	4
132	12	4
133	12	4
134	12	4
135	12	4
136	12	4
137	12	4
138	12	4
139	12	4
140	12	4
141	12	4
142	12	4
143	12	4
144	12	4
145	12	4
146	12	4
147	12	4
148	12	4
149	12	4
150	12	4
151	12	4
152	12	4
153	12	4
154	12	4
155	12	4
156	12	4
157	12	4
158	12	4
159	12	4
160	12	4
161	12	4
162	12	4
163	12	4
164	12	4
165	12	4
166	12	4
167	12	4
168	12	4
169	12	4
170	12	4
171	12	4
172	12	4
173	12	4
174	12	4
175	12	4
176	12	4
177	12	4
178	12	4
179	12	4
180	12	4
181	12	4
182	12	4
183	12	4
184	12	4
185	12	4
186	12	4
187	12	4
188	12	4
189	12	4
190	12	4
191	12	4
192	12	4
193	12	4
194	12	4
195	12	4
196	12	4
197	12	4
198	12	4
199	12	4
200	12	4
201	12	4
202	12	4
203	12	4
204	12	4
205	12	4
206	12	4
207	12	4
208	12	4
209	12	4
210	12	4
211	12	4
212	12	4
213	12	4
214	12	4
215	12	4
216	12	4
217	12	4
218	12	4
219	12	4
220	12	4
221	12	4
222	12	4
223	12	4
224	12	4
225	12	4
226	12	4
227	12	4
228	12	4
229	12	4
230	12	4
231	12	4
232	12	4
233	12	4
234	12	4
235	12	4
236	12	4
237	12	4
238	12	4
239	12	4
240	12	4
241	12	4
242	12	4
243	12	4
244	12	4
245	12	4
246	12	4
247	12	4
248	12	4
249	12	4
